17
893 920
848 662 -41
858 203 -323
523 175 490
376 683 305
163 473 -715
394 96 454
600 882 -69
624 375 -232
110 786 837
558 408 -403
278 349 -163
452 326 531
653 361 -475
481 680 -196
658 766 -229
788 439 382
206 774 768
323 260 -900
860 507 91
485 86 891
623 857 914
266 630 -97
97 158 -409
321 28 -804
81 308 -362
537 200 -119
371 117 -854
298 47 -609
85 286 230
782 329 351
14 348 945
572 825 -710
701 457 247
816 255 294
213 406 167
859 449 -819
345 65 796
284 387 826
93 707 -922
297 472 -955
592 522 -714
845 413 557
824 410 899
384 457 -888
280 220 708
326 134 278
392 245 480
72 681 726
291 774 -621
734 759 -91
840 778 -361
392 885 -658
201 224 -807
645 234 -898
296 867 642
583 641 -100
565 208 -760
240 744 -747
162 25 -471
257 416 892
99 390 59
667 481 764
543 835 -606
13 98 -558
180 578 536
687 502 998
486 83 131
235 80 -104
646 475 199
104 674 189
79 814 -460
436 496 987
53 43 614
386 29 310
878 39 755
224 572 703
658 239 506
175 233 877
218 195 -990
229 348 638
176 188 -799
770 628 867
683 727 733
44 427 -856
524 138 -551
260 765 -46
448 867 821
278 642 -175
514 718 -275
426 437 -395
140 548 -675
556 566 986
807 278 364
773 152 -454
782 419 192
468 807 5
309 509 285
149 534 106
357 851 -835
137 573 -283
404 853 -990
289 475 -365
776 766 -450
840 480 229
644 307 -715
274 275 116
798 200 918
680 119 -936
290 4 212
145 888 -32
500 189 897
286 893 222
392 544 935
382 7 -720
288 804 805
762 700 -635
166 383 668
879 775 135
445 889 517
561 774 -105
246 521 -291
295 856 -125
294 206 -9
576 330 -279
629 689 462
382 400 -84
348 127 -746
549 393 710
867 801
836 661 713
589 232 25
208 72 -141
457 402 920
543 578 797
849 230 795
505 536 782
27 710 205
501 567 365
737 616 349
135 375 -737
577 441 564
417 796 260
96 592 -9
238 360 -89
62 208 -956
444 748 894
647 496 -726
662 208 -910
588 634 711
48 310 147
586 133 593
613 841 -692
307 48 134
607 599 -756
407 157 660
701 673 835
628 550 548
726 379 -820
810 480 -236
780 201 -366
465 735 -770
328 813 891
283 516 -430
543 106 -863
368 113 -589
338 840 418
32 246 -452
401 183 -570
68 699 -99
25 772 -788
10 657 978
197 323 -423
445 815 426
653 735 -941
381 767 -498
858 847 338
11 365 482
411 466 -347
796 335 38
145 507 415
467 335 -545
742 411 233
341 551 -673
293 585 -499
765 140 558
255 407 -547
360 78 564
198 745 184
159 669 -857
520 76 -625
742 407 465
254 591 -763
636 246 -695
744 152 330
87 219 139
293 142 187
244 656 283
145 126 -800
659 80 779
338 478 237
23 804 326
792 802 765
770 596 170
388 704 -114
350 537 -95
149 556 808
687 501 -797
239 141 640
775 413 618
90 591 -917
767 752 -866
396 575 358
395 492 276
25 825 -329
618 705 -653
162 465 -670
527 38 867
324 67 240
75 513 842
711 304 376
825 46 -11
265 13 -573
37 112 -496
247 354 35
625 837 -90
611 644 -714
26 145 -168
508 849 783
756 191 -118
595 363 -163
866 700 -804
725 311 -947
470 456 -111
809 856 742
534 570 -754
115 5 441
628 748 -113
528 864 58
247 153 -287
809 251 -299
113 267 79
373 796 -268
602 389 -857
525 314 -489
546 404 479
795 369 559
675 146 653
3 710 176
848 487 -854
392 397 -393
8 858 715
394 569 382
15 460 -913
32 27 67
491 598 -26
73 746 -754
342 226 -541
192 292 -120
34 43 -922
184 462 -66
707 646 -576
861 841 291
53 535 914
215 597 -797
386 697 294
717 673 -710
307 439 491
618 61 -786
527 849 991
680 763 841
199 323 428
426 327 -593
429 65 -39
155 577 -836
751 145 -575
58 651 -91
635 474 983
674 775 769
764 760 85
646 737 89
529 314 582
785 714 653
425 158 828
178 795 936
835 63 503
3 476 66
493 708 -315
459 529 144
717 612 -858
229 181 -995
7 115 446
3 559 695
743 594 -305
578 160 944
327 840 288
147 533 842
333 161 -742
396 358 -363
496 497 256
249 536 -308
403 214 46
163 250 -552
452 667 974
677 754 -205
466 746 765
326 85 687
224 739 -234
223 713 634
854 588 -67
116 444 -136
103 799 358
688 848 626
81 842 181
466 512 26
477 732 -541
226 635 331
68 228 -935
796 422 -307
375 747 -585
37 429 901
298 748 -384
772 22 395
845 740 -446
175 780 -210
223 629 -748
94 269 -633
390 541 -322
797 760 177
405 127 -439
663 777 502
37 60 38
564 631 332
560 117 -508
175 724 -675
612 38 -956
822 242 -199
556 710 -670
313 710 779
471 759 612
72 312 606
211 480 743
86 689 15
683 765 -558
703 579 879
62 51 782
681 499 964
708 679 -37
391 688 208
368 279 -845
583 780 662
304 467 983
27 6 -710
519 821 173
367 380 294
633 423 -583
250 341 227
561 165 -843
440 865 -970
401 472 -977
686 801 -871
147 743 -238
681 258 309
217 653 748
456 640 -457
653 458 219
783 111 -721
565 582 29
431 441 495
411 743 372
244 755 296
809 764 -225
202 216 -347
536 637 -633
634 570 -250
84 522 643
262 252 -960
677 386 -185
645 534 -195
416 734 -788
285 468 -973
312 670 232
294 562 -932
787 57 -458
827 606 -256
27 208 -148
235 182 -156
757 699 419
512 542 732
225 748 324
285 450 -163
663 573 -441
59 436 -239
710 28 -991
461 478 155
24 375 196
778 437 -917
700 371 895
689 466 -665
654 599 414
770 527 -340
484 134 -592
186 780 783
733 344 -334
518 13 -892
596 518 -376
617 404 945
559 754 -397
31 601 -137
22 596 -940
282 175 -688
366 132 472
213 407 -293
136 115 -192
181 528 879
18 751 -226
140 416 595
103 763 307
147 115 124
726 189 -275
20 139 199
198 507 -64
855 742 313
239 164 481
577 663 -797
169 324 -679
639 816 -7
829 438 -532
396 214 -414
468 476 -761
835 768 805
315 588 394
182 85 -980
674 71 744
181 57 -214
780 573 -603
827 70 -579
257 397 -273
473 133 -438
365 240 762
233 716 156
253 312 294
563 244 -470
469 95 814
389 467 380
684 19 -552
217 446 825
358 682 659
355 729 684
726 651 -958
830 121 -877
750 717 -611
297 281 -290
29 735 -651
331 832 -23
723 338 762
701 447 372
648 570 31
13 675 443
796 724 -192
770 206 927
88 753 -782
648 560 -666
481 102 316
401 641 -907
609 524 -868
733 495 -50
762 157 -9
675 128 -363
33 656 -888
78 597 -854
805 423 -394
450 6 -371
288 387 75
306 100 97
249 616 -891
260 698 38
616 137 -814
151 154 -171
675 750 481
729 563 290
178 513 -889
685 413 -562
861 642 -22
635 30 -789
306 163 -809
490 544 -617
359 119 -432
660 496 557
109 704 523
300 220 -548
391 236 -310
822 824 -992
455 390 593
368 371 440
231 302 -453
856 535 182
525 229 581
227 582 79
688 109 -491
419 455 396
600 495 283
253 450 -586
20 842 -363
188 50 65
211 468 -998
291 110 -79
46 382 249
341 200 -16
846 659 -548
775 671 -286
585 122 818
766 345 -613
628 262 934
574 111 181
703 303 -969
641 14 -127
454 670 -404
376 272 -5
333 556 -245
685 516 -502
697 589 -118
21 502 -786
345 505 -25
526 810 533
559 376 366
339 659 -322
10 841 859
139 523 -691
591 615 75
757 32 -640
45 439 -543
654 259 -382
462 852 -576
399 74 -706
289 393 -97
230 866 -798
654 575 -336
62 89 66
339 44 -941
315 55 -945
713 501 908
113 16 74
256 52 487
288 509 -728
529 448 176
258 90 629
824 800 180
139 116 -885
507 199 120
14 661 378
422 729 312
274 558 -735
819 640 -348
108 565 360
341 323 294
543 572 -277
152 478 -983
593 47 -854
458 397 797
242 138 -634
378 336 857
756 506 940
749 168 -931
156 66 -581
219 94 691
276 394 237
387 117 13
382 434 26
553 536 569
388 108 -394
556 121 299
386 445 -177
394 241 621
715 853 91
698 462 -256
434 166 2
625 697 653
436 210 -524
712 826 952
328 433 868
592 572 -986
618 485 -589
404 51 624
17 265 -155
136 310 999
843 413 -553
501 793 -975
384 541 -283
23 474 670
182 654 -217
343 362 657
664 666 -379
182 295 -954
246 521 227
688 99 668
581 493 -246
206 479 439
674 744 -889
280 84 -29
855 606 76
133 238 781
409 559 223
694 803 -116
746 33 -458
482 631 61
212 739 -249
456 499 -275
723 717 45
850 448 -197
12 159 -293
578 611 476
816 582 -646
252 426 -197
617 86 -86
809 386 952
771 422 544
47 176 -900
187 113 -436
491 821 57
451 59 -866
134 297 878
434 258 168
780 520 203
16 62 -591
267 117 609
687 271 398
254 726 -842
543 657 -946
805 204 277
650 253 -192
400 399 302
649 329 438
695 264 -743
220 102 249
863 785 -579
668 398 -296
317 157 903
159 399 -259
831 239 -432
148 731 -98
207 431 903
659 273 -822
411 27 -382
416 321 412
536 700 -932
823 778 -525
247 730 314
660 705 172
771 224 -419
345 367 764
154 263 -639
861 237 -548
756 377 552
444 12 -396
140 428 250
78 178 -372
66 677 475
96 726 -112
650 284 693
485 649 -196
456 842 -225
702 211 -409
117 845 225
794 58 255
766 424 -286
2 474 956
169 492 -302
406 21 663
39 713 -359
307 449 -866
562 204 -983
262 638 449
655 141 -930
485 363 -88
345 863 412
220 501 301
558 166 -416
441 764 -112
537 522 -579
266 825 188
148 778 -881
377 807 -474
126 524 -85
815 458 -863
735 254 -930
69 454 445
309 221 992
367 312 391
290 610 -315
271 44 -891
45 833 -64
531 719 -459
368 495 816
304 211 -237
755 733 203
733 862 -223
276 843 -181
486 178 -727
207 827 -991
528 532 -924
170 590 67
787 512 176
769 530 351
763 150 209
145 398 901
276 4 -508
331 15 -370
663 271 320
348 382 957
219 381 591
391 545 -678
857 399 4
357 604 138
447 350 -904
238 137 -87
860 740 337
127 829 687
798 552 -606
724 120 -951
314 593 479
345 752 -4
817 727 -8
860 85 -448
541 588 -238
210 318 -430
815 339 69
314 656 975
184 773 -293
234 121 -203
772 831 -347
437 569 691
500 372 234
349 796 920
623 225 866
516 454 -994
860 489 441
838 423 709
520 790 -523
762 211 403
670 203 390
275 843 -100
773 538 143
455 297 -279
1 757 834
802 229 -825
212 58 -753
756 173 -474
303 120 772
168 88 -408
730 305 587
595 479 552
255 205 -215
436 766 44
562 460 637
140 649 -373
542 271 -79
750 351 766
560 149 -585
648 268 -101
352 8 218
488 567 -651
787 781 -270
840 110 -93
371 525 511
272 225 308
742 453 783
671 804 -282
442 245 297
136 235 179
830 248 574
544 185 -226
306 719 -343
658 71 -973
298 436 35
28 824 127
417 494 931
69 476 893
804 544 -746
712 375 -881
233 105 776
84 584 -952
278 81 540
373 831 -445
382 437 -499
714 848 -121
844 539 -993
756 291 465
537 357 -588
717 693 -497
30 396 -917
717 333 -648
267 652 -669
454 604 -999
476 41 343
23 223 496
384 371 885
856 633 97
436 396 -551
76 611 363
424 704 -274
609 496 -384
104 446 -180
243 465 125
449 225 9
195 435 -263
134 832 996
658 10 568
785 672 -694
580 803 -175
115 386 -973
704 310 53
444 4 -509
496 668 -392
16 210 -741
292 43 695
494 579 -786
434 658 -713
706 621 -485
34 788 897
577 672 485
560 368 481
482 738 982
327 316 -748
747 446 289
234 282 -683
16 807 607
20 153 -979
465 38 -588
511 588 718
21 275 311
752 452 -843
517 68 787
664 150 205
256 177 -226
532 547 402
324 756 628
612 645 -375
724 252 -320
266 44 359
654 242 53
867 337 -870
551 146 156
348 673 389
204 121 932
213 615 510
383 726 -142
152 438 87
158 440 -414
554 144 455
86 635 329
309 713 -132
452 673 -511
26 628 451
701 324 88
464 187 -948
124 605 -724
168 15 -137
745 477 -474
228 731 -145
420 722 765
421 739 -356
561 851 -351
684 43 107
90 39 -140
204 241 657
112 123 -737
390 829 -211
199 152 -384
827 49 -308
356 310 626
845 846 -345
6 821 427
454 830 -976
604 792 665
206 559 -900
538 398 -800
475 707 -681
75 298 -601
221 444 17
615 298 -599
618 99 345
286 848 691
539 565 731
846 654 18
668 644 -894
621 41 201
119 529 689
353 804 -248
506 338 316
308 388 -94
753 137 -216
696 494 -589
725 283 -818
364 520 -997
73 132 224
333 309 612
799 673 -223
78 317 -802
775 601 479
549 359 476
180 130 -625
606 121 -821
462 524 -478
618 536 515
540 467 924
90 42 480
281 42 -209
420 788 -118
784 675 672
109 539 -405
65 342 533
222 164 -939
719 92 -273
327 476 942
279 548 -540
720 674 403
747 196 641
367 867 -983
665 517 -710
622 3 -878
142 310 186
74 283 863
260 569 -12
548 341 -368
461 758 -616
613 552 890
597 486 895
202 512 355
141 80 -566
491 838 261
820 995
43 373 -4
258 276 696
155 551 226
240 585 -243
160 424 -978
458 706 612
619 266 -786
440 224 174
28 482 183
32 370 -440
446 409 764
109 287 -421
280 722 778
196 494 491
35 700 -805
334 624 276
118 137 -233
41 656 -591
737 15 681
711 511 601
575 676 443
783 49 369
555 238 -399
400 495 -952
12 9 53
344 332 -107
613 561 493
788 394 -645
312 333 -959
803 42 -770
313 712 227
244 88 -840
693 44 221
562 197 916
797 537 -432
754 806 683
561 81 90
714 29 928
36 127 -181
43 461 277
95 177 419
138 208 206
228 590 544
439 731 -763
9 427 98
608 77 -971
7 654 52
715 786 373
359 36 -932
764 551 -497
230 240 128
679 432 -148
129 571 600
41 324 -150
140 438 -399
490 451 18
453 240 -51
579 723 -382
243 232 -817
532 566 -945
237 19 -121
66 461 -351
597 537 -500
509 414 747
212 239 -795
228 260 -406
279 282 892
681 585 -429
538 695 -152
776 656 225
712 165 -383
452 212 -420
687 341 53
61 735 -194
720 696 980
267 803 -716
39 675 -87
486 485 -340
507 196 709
484 477 -912
49 69 -946
670 524 -119
669 277 274
73 529 995
539 666 -849
589 383 470
230 567 992
304 492 -304
750 622 433
126 71 15
328 515 324
756 300 341
518 500 708
70 225 -490
59 291 -907
808 239 529
306 787 63
140 488 103
455 205 -206
215 176 492
69 414 -995
17 596 -446
459 349 -960
9 304 -653
800 407 -331
646 252 -237
424 733 -255
779 80 777
395 430 874
730 657 618
207 226 789
732 214 915
117 413 353
105 191 452
417 814 -894
431 637 131
366 143 -802
20 511 -182
723 144 5
44 47 552
154 385 782
302 134 -132
683 406 -8
136 131 598
358 724 616
326 34 -380
227 343 -177
46 38 34
50 561 -472
3 108 700
536 527 -393
519 54 -739
668 629 -382
736 785 -951
271 753 635
810 153 486
27 704 51
593 68 -132
579 483 -335
48 239 -703
621 186 -41
337 660 -721
434 601 361
377 169 532
445 44 455
118 373 850
766 634 328
428 448 -435
47 311 924
137 345 146
651 490 997
39 547 -808
613 754 472
407 544 -795
148 726 528
360 668 373
54 77 233
804 328 -707
81 328 208
14 52 -526
702 247 264
557 1 190
527 323 735
349 190 664
531 410 -20
710 186 -265
696 552 28
402 209 -978
654 289 -376
728 635 27
509 794 -276
625 606 -681
815 124 -802
618 178 951
415 9 -554
299 44 -211
397 314 -792
440 470 500
660 93 -862
83 250 -821
650 506 483
542 631 -293
627 759 397
690 436 -371
130 428 659
64 365 365
473 800 -862
484 577 835
38 202 18
373 638 435
670 718 -446
504 693 -796
598 623 -486
393 405 -759
52 636 -922
726 120 -373
819 521 -682
95 273 878
532 742 147
441 264 907
548 532 -61
43 601 262
136 151 -121
477 91 -789
752 55 -127
498 88 584
127 537 -959
624 398 369
463 220 -346
724 96 534
8 402 -30
127 790 -681
608 173 -474
633 337 347
84 63 -222
166 189 -791
420 303 -825
584 311 914
561 367 692
122 96 -363
694 746 152
86 14 86
231 504 456
354 561 989
739 681 205
171 262 111
392 378 -255
142 304 14
620 646 -463
557 657 937
272 545 131
710 596 -865
52 377 -491
674 529 617
158 681 255
532 569 310
370 690 906
427 591 -471
432 518 -65
532 11 -759
512 243 -354
10 602 618
340 169 413
447 699 -165
401 437 169
312 446 232
227 159 4
804 4 -214
612 790 -878
732 755 -780
68 196 489
582 604 797
410 749 673
707 412 501
445 386 -462
104 270 418
624 149 798
374 729 -837
637 50 -829
251 37 -18
285 213 197
655 271 -144
43 557 -967
656 688 -282
183 430 932
112 234 -315
514 268 56
552 419 -504
61 502 -979
284 212 -549
100 741 -447
45 597 -761
648 601 -188
7 436 -69
507 372 221
105 142 755
577 113 -833
209 492 -734
185 247 -463
560 211 -486
190 786 691
733 332 577
296 407 567
362 392 -107
353 102 595
652 489 322
324 654 -963
276 457 862
810 32 565
715 318 -141
285 734 -518
373 747 170
298 493 -798
342 272 214
479 235 -638
805 609 -866
634 604 629
534 283 -763
595 142 52
320 400 550
431 663 -167
538 224 -547
582 644 754
778 769 408
205 336 -270
183 296 -978
772 501 38
146 27 519
80 755 247
19 748 -296
107 315 74
689 146 490
601 542 -859
53 479 336
738 8 219
635 445 998
362 366 27
222 795 -437
511 667 -4
196 459 950
162 522 263
629 345 118
764 440 -604
450 778 378
818 612 152
479 30 -251
510 465 612
172 489 -695
534 433 622
473 515 -131
815 684 -303
392 789 -221
268 386 -231
762 79 787
36 350 73
289 438 -327
321 162 -133
584 57 50
515 557 824
408 598 -555
527 412 915
252 50 935
687 651 189
325 237 -57
64 477 174
296 179 -758
709 21 -156
39 413 -265
318 675 -542
536 649 -671
233 231 -956
778 728 776
570 377 546
770 222 -100
42 674 -923
328 34 937
215 698 -103
592 62 -78
534 541 604
442 323 -953
668 538 -323
566 273 556
458 94 426
336 331 630
793 763 -552
814 379 -892
663 350 -328
710 515 -721
742 314 -53
387 240 674
157 142 176
637 63 856
577 404 -576
510 119 -459
63 300 48
471 408 235
715 94 -222
585 356 -275
172 224 -718
658 426 499
159 392 -522
638 95 483
339 545 -542
734 235 -628
113 59 -652
670 514 -472
345 12 240
486 524 20
171 499 -296
493 384 534
330 87 -554
545 321 45
121 179 -908
65 356 380
537 592 -677
707 481 849
392 716 748
529 728 -824
404 353 325
266 788 -926
138 756 -633
13 769 576
110 288 -779
737 640 -95
50 316 -239
279 592 -805
695 176 -30
330 356 612
640 132 -25
361 114 -486
582 139 -698
330 392 -816
132 602 -618
207 274 -831
80 124 377
664 263 -129
437 361 988
310 608 -623
279 467 -750
149 718 494
