817 2789
420 284 740
267 522 13
488 457 247
786 127 682
378 29 533
315 470 409
62 490 866
223 55 752
650 346 995
515 554 183
398 735 672
167 812 753
39 353 436
126 389 2
212 539 814
46 652 504
589 804 374
640 39 333
202 537 465
274 468 71
427 57 766
103 281 862
422 206 849
721 363 502
258 782 430
236 262 678
208 354 112
320 763 828
301 581 842
188 672 755
617 553 854
747 551 438
188 608 221
358 413 381
150 489 203
816 548 771
403 78 13
509 744 32
405 599 68
13 67 153
528 128 718
472 163 850
686 705 773
652 62 173
719 677 508
466 608 108
320 738 351
667 808 619
289 442 299
426 70 160
626 564 349
46 259 199
645 678 142
89 266 61
759 581 203
50 730 160
491 654 22
625 637 82
411 464 68
201 95 833
734 593 996
282 453 841
465 748 244
293 703 222
493 509 561
802 78 328
641 238 39
357 768 711
148 768 745
581 649 997
66 242 318
380 783 748
193 206 631
143 225 162
132 641 667
242 99 837
134 660 490
18 85 422
146 543 228
3 696 314
325 392 663
810 788 655
667 617 227
657 502 685
203 656 380
554 406 84
133 546 403
537 439 589
57 210 371
333 115 52
573 563 365
28 569 547
434 297 618
609 94 519
708 727 653
156 42 881
643 223 64
777 732 894
366 776 280
301 69 625
508 771 209
767 517 505
294 337 632
706 639 391
394 637 292
793 236 523
585 240 767
767 799 779
382 401 338
642 494 197
282 563 427
55 389 291
652 757 563
565 268 568
245 99 6
267 614 674
542 92 949
50 294 625
452 10 598
472 434 648
689 265 86
671 17 121
490 87 493
640 388 368
219 184 377
580 687 762
4 386 322
2 561 80
140 355 443
744 743 346
745 302 893
558 519 130
94 474 627
302 482 669
623 297 167
116 350 506
740 263 904
688 615 577
313 306 725
115 127 637
733 259 933
523 55 913
57 32 830
243 234 64
637 451 426
380 67 950
325 712 209
58 293 586
147 352 539
273 240 99
5 482 180
426 685 333
288 599 895
141 132 341
188 316 237
182 497 768
21 774 583
318 654 261
503 8 711
522 618 537
804 272 518
606 69 421
469 746 749
158 80 114
471 489 520
147 728 63
533 144 835
418 160 820
704 359 671
9 400 346
816 164 523
352 280 993
35 453 502
281 788 924
648 487 861
737 309 298
246 390 225
95 90 731
608 655 877
745 615 603
736 348 87
101 561 845
499 107 122
94 233 27
668 535 41
669 776 237
98 551 15
127 462 399
506 793 562
120 650 215
529 38 849
291 551 529
246 285 525
400 741 687
789 720 112
452 707 814
94 495 695
630 213 540
694 628 612
649 379 23
236 126 461
101 258 631
41 658 427
63 196 294
199 577 374
484 363 705
6 375 802
337 150 67
561 173 499
257 631 529
415 341 417
21 665 998
359 517 41
676 237 359
62 360 171
255 30 355
728 713 621
600 370 333
142 61 941
539 417 417
51 429 790
322 789 337
200 706 1000
97 505 470
148 306 811
662 789 498
130 722 932
591 16 515
709 803 477
689 114 702
428 273 120
225 448 769
124 787 999
438 282 511
396 600 566
265 256 488
583 97 740
203 290 44
541 218 816
306 652 387
175 103 353
198 753 605
695 756 242
761 759 50
303 771 746
19 212 274
719 639 107
531 695 683
671 419 868
492 395 236
566 552 425
394 457 243
368 133 796
804 208 596
491 467 195
578 725 807
147 783 431
41 625 27
198 636 570
495 790 74
734 331 387
386 99 27
80 787 89
87 445 356
35 2 11
520 367 850
64 288 709
308 212 527
219 199 378
278 284 83
354 97 875
731 454 357
499 629 212
382 133 840
587 548 745
99 687 145
407 533 118
138 132 586
283 9 595
493 56 754
547 716 183
35 745 821
670 365 71
150 441 460
673 364 979
17 416 331
186 543 386
125 370 365
721 315 982
314 209 673
510 478 261
790 122 480
677 717 685
345 546 971
695 694 291
314 343 631
816 655 584
491 561 989
605 616 413
757 713 649
58 283 175
604 673 731
414 488 695
577 81 597
427 798 687
246 383 914
551 462 330
554 104 704
715 386 302
698 730 206
389 563 911
555 32 937
473 205 197
116 109 311
280 741 754
17 790 65
72 580 151
501 356 587
78 52 859
13 84 406
301 491 267
305 106 173
700 214 763
119 133 537
495 793 503
622 443 16
801 31 684
776 499 303
271 815 923
63 733 994
31 258 202
398 605 817
289 200 260
711 710 846
274 73 349
434 617 620
607 733 100
706 512 251
295 460 917
725 95 190
329 276 774
527 691 127
176 164 794
661 98 651
101 335 181
244 782 750
224 784 290
76 339 687
646 237 300
711 637 466
328 223 501
727 470 691
592 448 408
712 607 832
376 66 505
284 798 919
200 367 515
250 711 939
546 322 434
99 263 997
204 469 149
357 493 122
479 214 888
40 48 526
456 451 922
611 520 359
342 269 368
35 209 370
191 771 464
362 587 879
383 716 274
124 756 559
174 502 473
289 373 749
315 387 19
629 449 687
759 771 172
252 445 767
719 162 315
107 156 527
543 329 57
628 169 540
408 152 123
584 665 363
764 29 586
105 104 210
616 23 180
113 487 530
354 614 71
659 797 652
481 433 380
453 24 893
73 576 527
364 514 854
227 641 918
378 39 336
238 259 679
560 795 1
755 206 568
66 301 527
478 74 467
626 96 422
469 757 607
492 138 144
1 151 807
811 117 833
811 27 416
332 297 187
284 109 327
23 607 324
152 24 955
610 254 801
785 412 25
441 755 276
278 499 484
219 479 268
124 713 919
514 500 169
392 74 382
590 304 829
730 55 273
337 666 218
65 417 536
41 42 641
406 769 135
121 309 347
378 724 258
78 253 180
300 499 662
346 386 524
52 95 391
114 33 35
782 750 561
120 486 466
182 44 319
567 410 632
468 690 881
249 718 325
31 685 696
803 351 209
148 149 908
760 679 671
16 271 380
478 353 271
233 438 464
347 283 90
709 376 41
204 540 258
546 198 605
817 797 697
431 732 967
82 314 807
420 152 857
253 399 77
156 266 933
333 80 11
634 431 2
241 516 646
119 399 757
139 555 904
417 127 290
65 383 250
496 316 757
124 646 630
283 468 88
146 555 15
336 595 760
657 228 983
677 46 652
436 95 742
277 285 677
418 743 290
56 440 248
10 811 155
431 40 434
626 337 475
387 750 804
215 714 494
46 459 87
279 209 96
419 97 419
462 602 43
248 741 727
184 178 944
51 464 191
409 725 424
256 488 88
707 595 45
38 522 652
533 122 429
438 347 824
397 104 969
233 766 378
230 213 950
556 602 952
384 498 904
452 226 238
122 336 380
492 733 224
58 507 684
352 75 531
210 330 641
528 30 908
757 748 293
740 530 963
89 257 56
108 422 841
355 546 958
484 210 222
406 537 214
663 480 791
420 500 689
720 305 699
746 366 470
229 104 241
427 809 54
207 472 155
715 518 363
571 280 115
157 750 456
522 669 565
236 489 802
783 517 951
473 513 357
183 636 66
140 359 186
438 193 861
763 286 568
96 340 542
19 429 23
609 42 280
169 261 58
740 544 245
513 15 164
172 503 404
131 639 763
507 99 397
450 459 406
437 811 279
246 157 133
695 114 628
674 576 373
9 705 417
89 363 985
289 694 522
57 728 190
105 510 233
619 197 210
175 486 573
621 722 375
778 628 832
618 269 156
297 554 645
99 150 658
48 133 286
464 74 143
98 673 468
656 305 94
167 222 377
565 721 603
14 514 332
633 332 648
258 121 491
88 688 319
519 411 132
300 584 237
497 278 569
273 120 19
141 352 961
311 600 921
492 812 564
812 177 607
269 604 378
804 571 456
596 710 593
144 401 655
691 110 495
479 557 225
140 287 207
362 142 428
473 645 951
370 325 543
618 423 122
560 500 456
155 579 73
346 207 476
232 475 129
110 293 950
715 376 231
677 414 828
292 49 236
554 23 150
165 350 997
468 607 257
119 350 480
125 301 542
538 449 707
628 708 41
488 192 18
303 789 44
462 622 47
191 423 157
531 167 324
461 343 605
22 67 288
581 211 612
714 286 988
619 667 307
197 291 83
563 81 984
219 536 259
639 173 957
728 771 196
794 521 1000
625 811 981
652 675 441
161 311 148
434 398 420
707 617 897
470 444 391
475 810 267
517 129 533
445 411 349
338 433 285
794 260 503
366 384 537
222 142 509
338 88 903
414 163 119
86 157 776
208 297 453
786 254 37
354 538 898
761 128 688
746 48 601
422 817 192
425 188 495
1 772 808
241 666 445
776 303 149
554 124 147
385 658 936
96 75 60
54 490 718
658 472 588
765 339 606
56 166 483
687 173 746
299 306 203
123 270 700
514 338 598
120 350 185
526 667 3
723 496 729
452 60 328
192 168 89
602 554 223
51 332 881
515 500 422
705 55 773
579 357 735
251 152 563
498 48 727
96 62 669
69 267 237
307 554 529
700 102 448
298 365 372
535 636 652
321 549 945
512 307 483
44 103 445
85 289 566
272 156 449
774 35 498
218 435 152
376 590 622
730 532 60
382 28 854
402 23 935
766 379 338
591 647 63
701 678 185
348 631 821
500 695 100
764 815 975
206 99 969
329 166 913
503 734 747
465 742 86
593 70 567
219 454 286
514 22 336
166 50 857
499 640 538
15 482 631
791 302 394
171 93 184
389 301 55
809 474 388
679 205 69
672 375 541
716 408 254
39 678 280
304 521 522
336 683 853
558 380 972
574 360 337
618 117 815
256 26 522
355 370 917
59 231 611
303 434 428
205 103 815
774 676 539
417 38 769
565 280 601
113 364 181
536 195 280
713 251 630
110 499 102
686 497 9
370 617 324
653 89 119
106 767 774
414 387 117
700 15 689
171 321 655
114 298 597
768 643 72
23 745 125
72 71 821
143 169 58
648 792 431
9 137 852
514 334 26
96 128 629
578 244 350
168 216 809
79 670 486
704 552 661
454 64 822
69 503 38
778 630 105
238 339 851
342 795 710
138 435 937
625 531 611
727 687 847
675 114 359
455 466 207
98 270 464
589 131 253
46 763 403
640 657 730
519 704 684
502 94 813
260 799 418
763 774 163
283 392 946
591 191 518
34 807 692
26 169 737
182 686 718
786 662 453
25 571 546
786 791 512
573 468 581
767 729 893
434 285 791
696 212 282
682 61 326
693 309 440
434 538 72
406 590 833
216 720 197
240 148 277
638 118 727
82 744 458
231 473 75
794 75 510
676 590 313
778 176 171
289 378 85
354 371 687
385 309 923
27 87 128
770 155 608
143 721 536
10 558 942
269 199 624
165 712 484
815 680 605
427 580 945
523 410 262
63 416 518
675 314 445
755 573 647
28 143 776
361 351 324
493 40 54
237 95 139
445 645 770
216 698 839
560 785 274
746 598 768
52 142 475
453 693 150
632 396 965
370 705 525
265 675 133
811 492 44
238 591 362
218 219 396
55 381 130
627 753 621
629 606 129
16 526 677
147 735 360
724 479 342
610 142 348
301 451 865
638 213 729
424 493 650
350 54 39
347 355 384
756 583 578
307 167 800
494 461 111
390 409 506
73 54 107
481 155 658
396 171 852
697 504 781
762 689 305
6 358 282
550 622 137
224 401 366
753 187 54
87 496 739
277 737 555
447 638 224
435 11 20
186 496 855
516 720 250
723 115 737
398 760 286
404 717 150
126 701 123
426 83 533
605 733 21
256 203 25
169 708 790
365 376 273
171 544 491
259 461 49
381 576 741
452 50 327
183 596 519
754 593 888
412 124 303
374 279 288
618 416 38
216 129 545
506 355 276
67 712 129
126 422 269
617 88 177
242 438 572
322 788 57
315 279 426
335 635 855
527 490 334
473 548 312
373 352 869
234 554 883
437 624 233
36 94 775
753 785 442
439 657 81
426 597 444
253 233 129
56 569 692
384 685 135
82 485 754
327 33 676
309 805 264
128 686 260
97 662 964
293 87 16
329 81 487
216 363 702
33 585 870
1 91 71
668 200 103
523 677 734
726 788 970
751 456 226
644 591 230
227 414 349
748 789 286
550 67 168
303 597 520
502 98 377
51 771 606
579 798 931
4 60 348
588 259 492
307 733 875
453 225 149
558 238 654
398 163 393
184 450 953
119 687 725
28 323 446
287 31 124
33 129 792
332 645 713
132 388 185
304 340 335
203 742 510
496 168 161
441 10 173
544 501 811
67 662 263
494 68 334
389 691 325
394 56 537
195 543 701
749 322 731
583 394 437
330 357 474
492 338 210
120 666 386
591 21 349
659 766 465
196 690 598
264 540 95
668 223 400
466 522 74
172 466 970
33 171 769
153 405 900
807 568 181
74 460 15
200 787 623
766 9 574
202 723 984
786 62 952
676 603 211
435 132 752
451 517 401
238 308 267
116 755 840
376 673 301
130 329 802
778 535 443
199 509 941
273 197 24
147 121 399
724 105 209
626 439 586
110 149 367
609 767 137
415 523 149
191 426 520
774 542 85
476 747 680
592 762 388
139 186 369
23 287 59
455 359 248
311 683 488
594 462 488
267 80 630
507 462 494
329 326 879
411 703 35
649 749 720
336 46 305
201 688 601
28 401 398
527 168 933
5 407 296
489 55 648
262 508 455
279 799 289
89 16 486
195 574 31
170 354 391
695 703 874
754 512 984
274 273 370
272 372 56
117 785 468
451 580 91
167 265 376
656 687 980
22 785 298
644 389 855
461 281 809
518 570 165
635 588 201
656 275 906
463 599 418
690 547 548
454 235 31
68 396 298
697 502 941
686 750 987
615 626 921
134 192 615
751 512 495
229 239 289
396 477 503
117 195 259
209 337 364
621 341 272
350 806 313
391 686 281
655 546 987
727 95 956
192 417 970
405 638 257
811 439 522
49 279 559
249 803 574
368 791 372
256 708 611
758 673 341
607 486 671
792 596 498
63 3 755
242 740 813
406 96 162
145 233 413
35 487 170
555 388 593
117 140 526
589 808 1
376 655 652
500 316 472
138 406 185
571 703 151
559 421 856
748 485 205
611 193 995
266 682 499
686 803 319
214 125 187
416 54 102
97 516 124
719 357 118
344 318 888
547 248 642
97 736 17
18 327 800
180 359 895
713 392 202
801 47 210
340 745 905
734 28 209
150 295 493
811 240 496
466 479 52
579 259 758
777 428 928
509 664 294
565 348 651
650 326 199
471 801 240
146 797 666
268 63 620
749 329 973
753 703 12
497 683 790
643 239 420
329 683 903
184 13 332
590 223 224
492 20 596
222 658 629
594 69 972
199 357 775
146 387 360
589 485 967
375 87 399
499 146 704
384 110 389
613 486 126
15 534 251
499 793 984
59 754 590
298 490 481
420 31 849
251 592 458
60 697 884
775 720 639
72 181 805
66 513 904
748 305 977
436 636 53
176 143 431
384 643 538
218 803 219
518 415 415
265 459 964
5 200 852
33 309 978
189 90 914
803 225 187
413 646 952
229 165 133
313 734 262
715 749 962
412 354 411
534 524 119
79 145 61
90 500 212
382 271 704
328 362 344
351 524 215
697 325 515
523 429 398
319 378 23
494 710 83
61 294 54
354 678 870
220 513 737
816 27 432
752 660 791
535 190 129
663 381 997
120 788 142
435 667 484
161 658 869
454 301 424
708 599 215
550 1 438
549 784 549
720 171 922
403 680 734
520 617 93
333 65 479
333 642 527
787 196 764
154 732 795
512 659 67
708 144 93
172 560 539
454 136 313
557 737 697
87 180 401
138 410 892
675 441 777
351 689 678
544 722 792
409 746 647
370 446 933
173 71 994
228 530 713
803 94 941
126 799 708
571 115 943
654 728 878
341 343 832
179 566 285
85 44 872
618 123 892
141 251 774
544 170 178
681 347 7
811 92 16
399 728 59
587 174 64
560 485 743
128 700 815
350 437 140
274 636 672
69 135 41
582 208 29
69 543 197
190 430 875
287 811 936
388 155 212
533 45 317
810 568 315
456 209 589
2 568 49
89 446 41
755 697 215
252 481 802
496 775 994
22 697 1
418 668 848
376 672 834
694 449 222
19 519 565
185 713 814
111 761 494
292 547 423
743 747 156
611 345 976
207 762 284
482 531 641
363 28 916
349 39 427
284 250 399
745 333 940
53 547 501
536 15 380
234 324 326
163 493 990
111 447 223
412 6 394
133 298 247
33 335 982
310 553 792
368 246 197
806 379 315
265 600 228
267 343 72
679 594 527
402 364 30
710 461 720
34 505 875
714 358 438
181 649 714
251 566 783
267 394 634
452 136 443
566 51 840
458 732 599
150 247 678
403 370 739
73 507 399
733 330 795
162 741 910
544 84 770
231 130 532
19 438 590
351 173 263
147 619 5
175 96 453
170 385 553
146 739 565
261 168 279
612 65 524
197 87 349
343 268 530
665 611 534
287 499 402
200 225 222
126 45 24
610 48 192
248 286 617
684 119 973
214 630 563
333 675 516
464 512 65
197 392 186
209 289 110
225 139 273
444 20 859
398 74 948
179 708 683
691 15 331
155 720 280
200 748 889
388 567 709
749 466 153
507 85 938
372 345 458
444 244 268
675 280 584
336 82 894
444 452 315
190 672 795
333 584 377
536 442 740
163 211 844
535 298 95
148 130 2
816 162 647
581 303 52
509 631 557
616 804 450
702 443 179
197 738 144
514 436 8
46 817 896
784 282 232
553 545 564
762 683 106
311 220 987
700 789 193
308 727 204
123 215 876
272 715 836
560 283 921
303 659 679
392 791 198
373 509 614
780 517 537
70 127 380
756 700 437
672 367 673
372 399 361
136 708 638
483 429 31
280 198 311
361 64 210
756 521 326
300 146 149
107 817 410
440 445 673
557 790 10
38 182 91
623 256 241
590 124 286
589 118 306
497 233 601
224 543 864
39 644 117
682 195 656
815 125 104
42 759 101
191 781 53
674 587 720
577 573 197
574 178 298
154 460 289
161 676 78
162 141 85
536 583 99
474 36 541
76 238 443
365 89 454
141 575 687
354 584 785
85 436 721
542 387 911
580 28 21
812 379 168
767 616 737
816 224 643
3 224 673
19 4 594
195 138 833
471 119 560
154 814 688
207 106 779
714 198 78
413 680 740
82 369 537
99 241 768
419 69 517
229 682 664
91 565 123
798 496 282
204 454 490
466 759 6
299 635 146
339 459 829
649 372 513
417 431 423
267 11 306
124 169 425
268 467 202
229 146 310
470 188 967
731 573 508
213 649 34
579 329 426
388 779 970
108 544 345
749 235 234
470 307 255
555 212 722
508 340 219
521 616 352
757 339 731
565 512 206
390 395 350
787 196 344
522 96 972
449 796 765
556 788 759
298 806 744
705 458 894
256 757 428
787 486 988
1 713 48
764 772 79
128 105 781
196 682 975
409 732 397
618 478 194
185 35 85
224 181 221
706 108 953
5 788 321
18 457 75
619 113 588
286 40 681
203 267 486
569 128 439
666 172 883
437 9 946
375 432 952
549 184 693
57 812 556
707 651 600
84 802 785
174 104 633
798 224 445
131 74 377
5 441 709
544 563 609
58 668 623
79 672 265
652 79 352
154 26 844
225 46 865
707 106 678
17 294 357
248 681 770
59 725 701
149 788 185
519 107 549
219 691 958
649 721 852
93 690 77
598 467 39
599 777 647
4 326 579
162 747 897
680 343 743
442 565 481
686 703 247
696 206 239
369 753 558
172 526 132
276 218 254
309 161 84
216 280 702
268 600 399
546 790 331
405 80 869
356 756 953
451 188 753
239 703 621
403 743 130
724 629 619
415 37 587
571 50 148
318 727 472
115 270 879
524 99 333
120 817 557
803 650 375
85 512 767
294 266 817
641 138 44
288 26 729
292 734 18
355 184 858
600 419 34
229 289 859
92 356 226
303 238 651
696 324 392
144 105 768
37 749 812
573 510 348
96 170 354
213 101 751
800 374 889
541 334 251
132 408 558
645 518 49
419 297 10
299 699 99
250 694 502
581 319 256
505 637 606
743 323 780
79 651 283
187 675 891
258 262 46
584 312 251
532 697 385
295 59 28
11 203 102
592 201 773
728 190 542
95 274 678
12 505 859
178 686 709
377 229 644
599 730 294
183 531 560
125 292 127
809 171 543
816 108 392
459 246 312
685 801 112
609 425 360
38 426 623
385 779 945
673 38 653
217 607 486
372 459 858
745 739 85
696 246 581
183 498 96
759 576 728
298 52 272
78 520 16
503 748 54
559 541 346
773 643 513
302 636 596
135 591 500
91 511 52
9 385 572
579 759 999
105 650 114
120 566 191
623 325 650
511 257 703
655 299 791
481 524 664
777 685 891
420 415 682
564 718 893
327 119 642
452 51 543
705 767 169
276 37 744
563 746 65
696 245 473
682 94 163
265 32 107
44 599 850
283 724 794
170 389 726
582 333 501
750 476 99
751 375 185
87 613 152
456 172 515
168 800 468
479 385 993
735 270 467
430 340 482
431 198 142
289 360 785
777 749 636
210 328 1000
492 755 478
534 81 349
784 363 236
568 634 556
734 549 140
747 595 1
789 604 305
73 298 782
569 195 434
749 632 349
485 557 997
264 43 371
316 259 658
513 351 320
474 296 103
316 229 501
425 260 500
120 743 223
225 705 409
550 145 237
133 220 474
556 287 458
184 189 713
769 456 770
613 238 54
608 159 723
740 81 568
174 674 85
666 202 54
577 77 497
640 285 287
526 451 698
373 586 253
658 358 255
241 149 950
695 205 527
141 98 475
360 109 656
378 636 104
375 58 963
7 192 597
714 234 699
591 508 783
780 621 396
483 81 620
358 651 241
793 298 892
94 357 390
32 404 823
329 642 369
190 428 71
729 416 957
294 388 533
574 796 882
432 265 128
370 367 484
532 784 266
355 52 916
257 212 382
646 367 956
660 213 454
74 149 816
523 89 886
272 228 200
467 48 630
65 130 387
391 57 257
597 311 856
18 170 77
602 141 31
738 102 363
621 535 53
808 486 36
199 251 941
583 319 406
252 655 108
197 54 162
356 51 699
208 538 287
129 435 187
528 758 434
740 527 243
731 15 293
379 431 210
231 413 684
739 140 132
650 430 618
543 441 927
641 781 386
214 417 468
240 806 499
518 399 700
1 180 33
567 403 441
70 76 855
17 490 140
284 573 268
425 139 586
685 335 77
501 377 762
745 107 820
518 299 545
532 386 307
352 180 800
735 768 647
332 161 292
419 413 932
776 725 880
105 624 673
102 523 522
687 796 912
795 136 580
205 676 890
282 797 95
115 487 906
108 140 293
683 698 114
459 152 103
795 541 272
566 621 336
614 13 676
654 391 589
610 587 147
75 593 169
609 720 87
786 678 267
442 282 392
552 338 491
220 198 655
652 800 212
516 448 387
583 494 359
728 191 874
610 242 304
289 791 13
259 630 285
308 204 148
448 40 969
353 802 757
610 275 264
548 1 281
30 551 350
636 745 691
164 655 93
762 272 825
381 412 721
76 504 57
367 809 570
617 659 288
562 390 669
569 267 476
805 203 117
514 741 555
808 280 136
304 353 140
189 599 668
700 492 522
274 432 257
178 383 916
535 268 246
801 594 53
107 641 714
358 501 44
708 52 906
582 386 813
26 683 229
124 256 110
600 336 750
797 472 177
312 14 856
208 784 413
565 526 845
258 523 46
771 253 347
537 679 132
208 90 31
549 762 173
445 459 210
160 817 871
280 8 380
540 684 438
261 166 752
120 309 222
772 578 845
552 268 550
623 294 137
349 49 45
755 610 650
787 719 907
348 96 950
237 342 163
305 462 685
299 602 581
170 712 323
187 629 70
204 763 997
162 20 776
451 322 745
533 444 428
590 28 968
239 775 200
391 618 142
283 466 71
3 598 909
15 707 220
674 432 40
79 25 952
472 655 907
453 793 397
263 2 33
28 484 315
383 798 601
593 615 971
116 732 289
195 319 440
61 325 616
460 313 946
408 731 8
141 754 515
443 20 146
22 229 18
83 660 766
750 319 861
186 88 992
762 678 832
352 563 580
476 332 155
386 536 14
194 513 60
743 46 818
561 732 753
108 681 7
21 436 405
572 643 631
316 151 196
513 435 866
300 485 994
349 776 334
109 317 119
84 789 989
170 19 360
480 726 14
671 586 504
125 458 843
800 551 297
572 724 38
761 96 298
631 669 610
478 140 582
781 103 286
632 489 241
572 114 128
272 724 128
744 5 901
504 10 54
148 170 462
107 354 168
662 676 429
639 523 786
25 305 2
451 448 602
598 727 573
339 192 527
774 648 435
318 600 752
80 714 420
702 565 261
398 145 918
348 690 38
453 488 258
681 221 94
68 769 908
607 237 593
347 693 11
74 231 165
752 30 166
691 206 177
806 272 986
453 391 64
84 242 795
691 750 626
490 290 537
69 571 522
734 392 365
674 362 161
548 716 176
57 798 994
8 607 546
411 319 982
251 265 142
509 314 808
477 632 69
452 322 660
199 61 142
601 702 88
549 54 428
782 6 642
593 187 481
558 143 421
467 612 819
502 531 268
72 772 856
383 479 459
788 83 783
775 785 218
804 579 278
59 555 221
565 678 147
68 128 153
753 17 143
421 571 799
527 534 688
514 752 196
751 812 600
127 773 368
83 305 907
428 784 299
462 50 787
98 300 754
485 3 947
398 654 96
697 420 758
541 195 693
624 286 585
651 347 176
41 508 905
291 380 385
148 324 662
372 603 39
15 4 655
9 307 482
537 342 800
554 428 626
87 663 569
71 78 958
335 97 544
160 609 530
264 320 967
8 398 866
351 667 571
450 468 619
617 450 215
1 624 305
57 679 929
11 503 312
516 47 671
580 68 29
462 649 360
103 32 239
557 123 12
116 723 683
35 540 206
283 409 374
98 456 917
128 465 991
750 699 614
303 496 993
703 613 963
399 284 379
736 123 383
317 312 461
591 647 114
551 178 758
379 417 65
765 311 736
539 420 50
315 34 543
696 341 376
246 597 996
86 675 441
598 573 969
686 671 497
63 601 783
26 776 278
467 154 531
43 437 427
44 164 703
301 564 982
183 60 337
556 816 403
266 137 13
445 87 810
641 584 238
650 166 460
366 620 823
73 465 940
158 616 317
23 614 536
342 283 368
249 403 896
640 589 23
365 488 892
412 10 963
369 216 745
21 261 760
348 94 726
512 350 171
205 685 253
77 405 435
223 276 991
247 777 373
442 557 71
32 698 998
700 507 512
71 435 405
154 23 991
156 477 73
251 686 726
723 777 960
756 485 158
722 128 565
532 73 449
391 813 760
371 774 424
322 66 782
776 388 914
621 432 534
325 529 228
84 366 398
301 125 819
358 133 898
344 130 405
268 689 878
38 486 974
154 467 540
648 460 685
752 407 59
596 576 394
105 307 465
495 780 676
247 509 211
228 148 702
22 376 727
453 614 465
287 167 517
672 33 963
653 103 757
621 53 197
295 19 822
